Society,Bibtext,Reference,Full_reference,D-PLACE,notes
C10_Azande,larken1926,Larken 1926,"Larken, P. M. 1926. An account of the Zande. Sudan Notes and Records, 9(1), 1–55.",,
C10_Azande,larken1927,Larken 1927,"Larken, P. M. 1927. Impressions from the Azande. (Continued from Vol. IX, Part 1). Sudan Notes and Records, 10, 85–134.",,
C10_Azande,seligmanandseligman1932,Seligman & Seligman 1932,"Seligman, C. G., and Seligman, B. Z. 1932. Pagan Tribes of the Nilotic Sudan. London: George Routledge and Sons, Ltd.",https://d-place.org/sources/seligmanandseligman1932,
C10_Azande,deschlippe1956,De Schlippe 1956,"De Schlippe, P. 1956. Shifting cultivation in Africa: the Zande system of agriculture. London: Routledge & Paul.",https://d-place.org/sources/deschlippe1956,
C10_Azande,schweinfurth1874,Schweinfurth 1874,"Schweinfurth, G. 1874. The Heart of Africa. Two Volumes. New York: Harper & brothers.",https://d-place.org/sources/schweinfurth1874,
C11_Thonga,junod1927,Junod 1962a,"Junod, H. A. (1962a). The Life of a South African Tribe. Volume 1: The Social Life. New York: University Books.",https://d-place.org/sources/junod1927,
C11_Thonga,junod1962b,Junod 1962b,"Junod, H. A. (1962b). The Life of a South African Tribe. Volume 2: The Mental Life. New York: University Books.",,https://d-place.org/sources/junod1927
C12_Bavenda,stayt1931,Stayt 1931,"Stayt, H. 1931. The Bavenda. London: Oxford University Press.",https://d-place.org/sources/stayt1931,
C12_Bavenda,lestrade1930,Lestrade 1930,"Lestrade, G. P. 1930. Some Notes on the Political Organization of the Venda-Speaking Tribes. Africa: Journal of the International African Institute, 3(3), 306-322.",,
C13_Batak,loeb1935,Loeb 1935,"Loeb, E. M. 1935. Sumatra: Its History And People. Wiener Beitrage zur Kulturgeschichte und Linguistik 3. Vienna: Verlag des Institutes für Völkerkunde der Universität Wien.",,
C13_Batak,marsden1811,Marsden 1811,"Marsden, W. 1811. The History of Sumatra. 3rd edition. London. ",,
C14_Schilluk,cann1929,Cann 1929,"Cann, G. P. 1929. A Day in the Life of an Idle Shilluk. Sudan Notes and Records 12 (2), 251-253.",https://d-place.org/sources/cann1929,
C14_Schilluk,evanspritchard1948,Evans-Pritchard 1948,"Evans-Pritchard, E. E. 1948. The Divine Kingship of the Shilluk of the Nilotic Sudan. Cambridge: Cambridge University Press.",https://d-place.org/sources/evanspritchard1948,
C14_Schilluk,evanspritchard1951,Evans-Pritchard 1951,"Evans-Pritchard, E. E. 1951. Shilluk king-killing. Man 51, 116.",,
C14_Schilluk,howell1941,Howell 1941,"Howell, P. P. 1941. The Shilluk Settlement. Sudan Notes and Records 24. 47-66.",https://d-place.org/sources/howell1941,
C14_Schilluk,howell1944,Howell 1944,"Howell, P. P. 1944. The Installation of the Shilluk King. Man 44, 146–147.",,
C14_Schilluk,howell1952a,Howell 1952a,"Howell, P. P. 1952a. Observations on the Shilluk of the Upper Nile. The Laws of Homicide and the Legal Functions of the “Reth.” Africa 22(2), 97–119.",,
C14_Schilluk,howell1952b,Howell 1952b,"Howell, P. P. 1952b. The Death and Burial of reth Dak wad: FADIET OF THE SHILLUK. Sudan Notes and Records, 33(1), 156–164.",,
C14_Schilluk,howell1952c,Howell 1952c,"Howell, P. P. 1952c. The Death of Reth Dak Wad Fadiet and the Installation of His Successor: A Preliminary Note. Man, 52, 102–104.",,
C14_Schilluk,howell1953,Howell 1953,"Howell, P. P. 1953. Observations on the Shilluk of the Upper Nile. Customary Law: Marriage and the Violation of Rights in Women. Africa 23(2), 94–109.",,
C14_Schilluk,howellandthomson1946,Howell & Thomson 1946,"Howell, P. P., and Thomson, W. P. G. 1946. The death of a Reth of the Shilluk and the installation of his successor. Sudan Notes and Records, 27, 5–85.",,
C14_Schilluk,howellandudal1953,Howell & Udal 1953,"Howell, P. P., and Udal, J. O. 1953. The election and installation of Reth Kur Wad Fafiti of the Shilluk. Sudan Notes and Records, 34(2), 189–204.",,
C14_Schilluk,munro1918,Munro 1918,"Munro, P. 1918. Installation of the Ret of the Chol (King of the Shilluks). Sudan Notes and Records, 1(3), 145-152.",,
C14_Schilluk,oyler1918a,Oyler 1918a,"Oyler, D. S. 1918a. Nikawng and the Shilluk migration. Sudan Notes and Records, 1(2), 107-115.",,
C14_Schilluk,oyler1918b,Oyler 1918b,"Oyler, D. S. 1918b. Nikawng's place in the Shilluk religion. Sudan Notes and Records, 1(4), 283-292.",,
C14_Schilluk,oyler1919,Oyler 1919,"Oyler, D. S. 1919. The Shilluk's Belief In The Evil Eye, The Evil Medicine Man. Sudan notes and records, 2(2), 122-137.",,
C14_Schilluk,oyler1920,Oyler 1920,"Oyler, D. S. 1920. The Shilluk's belief in the good medicine men. Sudan notes and records, 3(2), 110-116.",,
C14_Schilluk,oyler1926,Oyler 1926,"Oyler, D. S. 1926. Shilluk notes. Sudan notes and records, 9(1), 57-68.",,
C14_Schilluk,paul1952,Paul 1952,"Paul, A. 1952. The Mar of the Shilluk. Sudan Notes and Records, 33(1), 165–166.",,
C14_Schilluk,pumphrey1937,Pumphrey 1937,"Pumphrey, M. E. C. 1937. Shilluk"" royal"" language conventions. Sudan Notes and Records, 20(2), 319-321.",,
C14_Schilluk,pumphrey1941,Pumphrey 1941,"Pumphrey, M. E. C. 1941. The Shilluk Tribe. Sudan Notes and Records 24. 1-45.",https://d-place.org/sources/pumphrey1941,
C14_Schilluk,schweinfurth1874 - DUPLICATE,Schweinfurth 1874,"Schweinfurth, G. 1874. The Heart of Africa. Volume 1. New York: Harper & brothers",https://d-place.org/sources/schweinfurth1874,The same for Azande
C14_Schilluk,seligman1957,Seligman 1957,"Seligman, C. G. 1957. Races of Africa. London: Oxford University Press.",,
C14_Schilluk,di1922,D. I. 1922,"D. I. 1922. Conspiracy against the Mek of the Shilluks in 1917. Sudan Notes and Records, 5(2), 111.",,
C14_Schilluk,anonymous1956,Anonymous 1956,"Anonymous 1956. Installation Of A New Shilluk King. Sudan Notes and Records, 37, 99–101.",,
C14_Schilluk,westermann1912,Westermann 1912,"Westermann, D. 1912. The Shilluk People. Philadelphia: Board of Foreign Missions of the United Presbyterian Church of N. A.",https://d-place.org/sources/westermann1912,
C14_Schilluk,lienhardt1954,Lienhardt 1954,"Lienhardt, G. 1954. The Shilluk of the Upper Nile. African Worlds, 138-163. London: Oxford University Press for the International African Institute. ",https://d-place.org/sources/lienhardt1954,
C14_Schilluk,wright1951,Wright 1951,"Wright, J. W. 1951. The White Nile and the Sobat. Sudan Notes and Records 32(1), 113-130.",,
C15_Mru,loffler1967,Löffler 1967,"Löffler, L. G. (1967). Field notes from field work in 1955, 1957, 1964, 1965. Unpublished.",,
C16_Mangareva,buck1938,Buck 1938,"Buck, P. H. 1938. Ethnology of Mangareva. Bernice P. Bishop Museum Bulletin 157. Honolulu: Bernice P. Bishop Museum.",https://d-place.org/sources/buck1938,
C16_Mangareva,beechey1831,Beechey 1831,"Beechey, F. W. 1831. Narrative of a Voyage to the Pacific and Beering's Strait. Volume I. London: Henry Colburn and Richard Bentley.",,
C16_Mangareva,emory1939,Emory 1939,"Emory, K. P. 1939. Archaeology of Mangareva and Neighboring Atolls. Bernice P. Bishop Museum Bulletin 163. Honolulu: Bernice P. Bishop Museum.",,
C16_Mangareva,smith1918,Smith 1918,"Smith, S. P. 1918. Notes on the Mangareva, or Gambier group of islands, Eastern Polynesia. The Journal of the Polynesian Society 27, 3(107), 115-131.",,
C16_Mangareva,andersen1928,Andersen 1928,"Andersen, J. C. 1928. Myths and Legends of the Polynesians. New York: Farrar & Rinehart.",,
C16_Mangareva,laval1938,Laval 1938,"Laval, H. 1938. Mangareva. L'histoire ancienne d'un peuple polynésien. Braine-le-Compte: Maison des Peres des Sacres-Coeurs.",https://d-place.org/sources/laval1938,
C17_Creek,swanton1928a,Swanton 1928a,"Swanton, J. R. 1928a. Religious Beliefs and Medical Practices of the Creek Indians. Annual Reports of the Bureau of American Ethnology 42. 473-672.",https://d-place.org/sources/swanton1928a ,
C17_Creek,swanton1928c,Swanton 1928c,"Swanton, J. R. 1928c. Social Organization and Social Usages of the Indians of the Creek Confederacy. Annual Reports of the Bureau of American Ethnology 42. 23-472, 859-900.",https://d-place.org/sources/swanton1928c,
C17_Creek,swanton1928d,Swanton 1928d,"Swanton, J. R. 1928d. Aboriginal Culture of the Southeast. Annual Reports of the Bureau of American Ethnology 42. 673-726.",,
C17_Creek,swanton1946,Swanton 1946,"Swanton, J. R. 1946. The Indians of the Southeastern United States. Bulletins of the Bureau of American Ethnology 137. 1-943.",https://d-place.org/sources/swanton1946 ,
C17_Creek,swanton1915,Swanton 1915,"Swanton, J. R. (1915). The Social Significance of the Creek Confederacy. Proceedings of the International Congress of Americanists 19, 327-334.",,
C18_Ao_Naga,mills1926,Mills 1926,"Mills, J. P. 1926. The Ao Nagas. Macmillan and Co.",https://d-place.org/sources/mills1926,
C18_Ao_Naga,smith1925b,Smith 1925,"Smith, W. C. 1925. The Ao Naga Tribe of Assam. Macmillan and Co.",https://d-place.org/sources/smith1925b,
,,,,,
C20_Futuna,burrows1936,Burrows 1936,"Burrows, E. G. (1936). Ethnology of Futuna. Bernice P Bishop Museum Bulletin 138, 1-239.",https://d-place.org/sources/burrows1936,
,,,,,
C22_Masai,hindeandhinde1901,Hinde & Hinde 1901,"Hinde, S. L. and Hinde, H. 1901. The Last of the Masai. London: William Heinemann.",,
C22_Masai,hollis1905,Hollis 1905,"Hollis, A. C. 1905. The Masai: Their Language and Folklore. Oxford: Clarendon Press.",https://d-place.org/sources/hollis1905,
C22_Masai,koenig1956,Koenig 1956,"Koenig, O. 1956. The Masai Story. London: Michael Joseph.",,
C22_Masai,fosbrooke1948,Fosbrooke 1948,"Fosbrooke, H. A. 1948. An Administrative Survey of the Masai Social System. Tanganyika Notes and Records 26, 1-50.",https://d-place.org/sources/fosbrooke1948,
C22_Masai,hollis1910,Hollis 1910,"Hollis, A. C. 1910. A Note on Masai System of Relationship and Other Matters Connected Therewith. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 40, 473-482.",,
C22_Masai,leakey1930,Leakey 1930,"Leakey, L. S. B. 1930. Some Notes on the Masai of Kenya Colony. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 60, 185-209.",,
C22_Masai,fox1930,Fox 1930,"Fox, D. S. 1930. Further Notes on the Masai of Kenya Colony. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 60, 447-465.",,
C22_Masai,maguire1928,Maguire 1928,"Maguire, R. A. J. 1928. The Masai Penal Code. Journal of the Royal African Society 28(109), 12-18.",,
C22_Masai,forde1948,Forde 1948,"Forde, C. D. 1948. Habitat, economy and society: a geographical introduction to ethnology. London: Methuen.",,
C22_Masai,krapf1860,Krapf 1860,"Krapf, J. L. 1860. Travels, researches and missionary labours during an eighteen years' residence in Eastern Africa. London: Trübner & Co.",,
C22_Masai,huntingford1953b,Huntingford 1953,"Huntingford, G. W. B. 1953. The Southern Nilo-Hamites. London: Oxford Univ. Press, International African Inst. ",https://d-place.org/sources/huntingford1953b,
C22_Masai,thomson1887,Thomson 1887,"Thomson, J. 1887. Through Masai Land. London: Sampson Low, Marston, Searle, & Rivington.",,
C22_Masai,orrandgilks1931,Orr & Gilks 1931,"Orr, J. B., and Gilks, J. L. 1931. Studies in nutrition: the physique and health of two African tribes. London: H.M. Stationery Office",,
C23_Iroquois,morgan1901,Morgan 1901,"Morgan, L. H. 1901.League of the Ho-De-No-Sau-Nee or Iroquois. 2 Volumes. New York: Dodd, Mead and Co.",https://d-place.org/sources/morgan1901,
C23_Iroquois,noon1949,Noon 1949,"Noon, J. A. 1949. Law and Government of the Ground River Iroquois. New York: Viking Fund Publications.",https://d-place.org/sources/noon1949,
C23_Iroquois,schoolcraft1847,Schoolcraft 1847,"Schoolcraft, H. R. 1847. Notes on the Iroquois. Albany: Erastus H. Pease and Co.",,
,,,,,
C25_Nootka,colson1953,Colson 1953,"Colson, E. 1953. The Makah Indians. Minneapolis: University of Minnesota Press.",https://d-place.org/sources/colson1953,
C25_Nootka,cook1785,Cook 1784,"Cook, J. 1784. A Voyage to the Pacific Ocean. London.",https://d-place.org/sources/cook1785,different year
C25_Nootka,drucker1965,Drucker 1965,"Drucker, P. 1965. Cultures of the North Pacific Coast. San Francisco: Chandler.",https://d-place.org/sources/drucker1965,
C25_Nootka,drucker1951,Drucker 1951,"Drucker, P. 1951. The Northern and Central Nootkan Tribes. Washington: Government Printing Office.",https://d-place.org/sources/drucker1951,
C25_Nootka,sproat1868,Sproat 1868,"Sproat, G. M. 1868. Scenes and Studies of Savage Life. London: Smith Elder & Co.",,
C25_Nootka,jewitt1815,Jewitt 1815,"Jewitt, J. R. 1815. A Journal Kept at Nootka Sound.",,
C25_Nootka,swan1868,Swan 1868,"Swan, J. G. 1868. Indians of Cape Flattery. Washington: Smithsonian Institution.",https://d-place.org/sources/swan1868,
C25_Nootka,koppert1930b,Koppert 1930,"Koppert, V. A. 1930. Contributions to Clayoquot Ethnology. Washington: Catholic University of America.",https://d-place.org/sources/koppert1930b,
C25_Nootka,galianoandvaldes1930,Galiano & Valdés 1930,"Galiano, A. D., Valdés, C. 1930. A Spanish Voyage to Vancouver and the North-West Coast of America. London: The Argonaut Press.",,
C25_Nootka,boas1890,Boas 1890,"Boas, F. 1890. The Nootka. In Report of the British Association for the Advancement of Science, 582-604, 668-679. London: John Murray.",,
C25_Nootka,newcombe1909,Newcombe 1909,"Newcombe, C. F. 1909. Guide to Anthropological Collection in the Provincial Museum. Victoria: R. Wolfenden.",,
C25_Nootka,bancroft1875,Bancroft 1875,"Bancroft, H. H. 1875. Native Races of the Pacific States of North America. New York: D. Appleton & Co.",,
C25_Nootka,swadesh1948,Swadesh 1948,"Swadesh, M. 1948. Motivations in Nootka Warfare. Southwestern Journal of Anthropology, 4(1), 76-93.",,
C26_Mandan,bowers1950,Bowers 1950,"Bowers, A. W. 1950. Mandan Social and Ceremonial Organization. University of Chicago Press.",https://d-place.org/sources/bowers1950,
C26_Mandan,willandspinden1906,Will & Spinden 1906,"Will, G. F. & Spinden, H. J. 1906. The Mandans. Papers of the Peabody Museum 3(4). Cambridge, Mass.: The Museum.",https://d-place.org/sources/willandspinden1906,
C26_Mandan,deland1908,DeLand 1908,"DeLand, C. E. 1908. The Aborigines of South Dakota: The Mandan. South Dakota Historical Collections 4, 275-730.",,
C27_Callinago,taylor1938,Taylor 1938,"Taylor, D. 1938. The Caribs of Dominica. Bulletins of the Bureau of American Ethnology 119. Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/taylor1938,
C27_Callinago,taylor1946,Taylor 1946,"Taylor, D. 1946. Kinship and Social Structure of the Island Carib. Southwestern Journal of Anthropology 2. 180-212.",https://d-place.org/sources/taylor1946,
C27_Callinago,taylor1951,Taylor 1951,"Taylor, D. 1951. The Black Carib of British Honduras. Viking Fund Publ. Anth. 17. 1-176. New York: Viking Fund Publications in Anthropology, no. 17.",https://d-place.org/sources/taylor1951,
C27_Callinago,delaborde1886,de la Borde 1886,"de la Borde, P. 1886. History of the origin, customs, religion, wars and travels of the Caribs, Savages of the Antilles in America. Volume 5. Timehri.",,
C27_Callinago,rochefortnd,Rochefort [?],"Rochefort, C. [?]. Histoire Morale des Îles Antilles",,
C27_Callinago,rosny1886,Rosny 1886,"Rosny, L. 1886. Mémoires de la Société d'ethnographie. Volume 2. Paris.",,
C27_Callinago,labatnd,Labat [?],"Labat, J. B. [?]. Voyages.",,
C27_Callinago,loven1935,Lovén 1935,"Lovén S. 1935. Origins of the Tainan culture, West Indians. Go?teberg: Elanders boktryckeri aktiebolag.",,
C27_Callinago,ober1880,Ober 1880,Ober F. A. 1880. Camps in the Caribbees: The Adventures of a Naturalist in the Lesser Antilles. Boston: Lee and Shepard.,,
C27_Callinago,macnutt1912,MacNutt 1912,"MacNutt F. A, 1912. De Orbe Novo: The Eight Decades of Peter Martyr D'Anghera. New York: G.P. Putnam's Sons.",,
C27_Callinago,rouse1948a,Rouse 1948a,"Rouse, I. 1948a. The Arawak In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 507-546). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948a ,incollection - instead of article
C27_Callinago,rouse1948b,Rouse 1948b,"Rouse, I. 1948b. The Carib. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 547-565). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948b ,incollection - instead of article
C27_Callinago,steward1948,Steward 1948,"Steward, J. H. 1948. The Circum-Caribbean Tribes: An Introduction. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 1-41). Washington, D.C.: Smithsonian Institution.",,
C27_Callinago,dutertre1667,Du Tertre 1667,"Du Tertre, J. B. 1667. Histoire générale des Antilles habitées par les François.",https://d-place.org/sources/dutertre1667,
C28_Trobriands,malinowski1922,Malinowski 1922,"Malinowski, B. 1922. Argonauts of the Western Pacific. London: George Routledge and Sons.",https://d-place.org/sources/malinowski1922,
C28_Trobriands,malinowski1926,Malinowski 1926,"Malinowski, B. 1926. Crime and Custom in Savage Society. New York: Harcourt, Brace.",https://d-place.org/sources/malinowski1926,
C28_Trobriands,malinowski1929,Malinowski 1929,"Malinowski, B. 1929. The Sexual Life of Savages in Northwestern Melanesia. New York: Horace Liveright.",https://d-place.org/sources/malinowski1929,
C28_Trobriands,malinowski1920,Malinowski 1920,"Malinowski, B. 1920. War and weapons among the natives of the Trobriand Islands. Man 20, 10-12.",https://d-place.org/sources/malinowski1920,article instead of book
C28_Trobriands,malinowski1935,Malinowski 1935,"Malinowski, B. 1935. Coral Gardens and Their Magic. New York: American Book Company.",https://d-place.org/sources/malinowski1935,
C28_Trobriands,malinowski1954,Malinowski 1954,"Malinowski, B. 1954. Magic, science and religion, and other essays. Garden City, N.Y.: Doubleday.",,
C28_Trobriands,seligmann1910,Seligmann 1910,"Seligmann, G. G. 1910. Melanesians of British New Guinea. Cambridge: University Press.",https://d-place.org/sources/seligmann1910,
C29_Kiwai,landtman1927,Landtman 1927,"Landtman, G. 1927. The Kiwai Papuans of British New Guinea. London: MacMillan.",https://d-place.org/sources/landtman1927,
C29_Kiwai,beaver1920,Beaver 1920,"Beaver, W. N. 1920. Unexplored New Guinea. Philadelphia: J. P. Lipincott.",,
C30_Mala,ivens1930,Ivens 1928,"Ivens, W. G. (1928). The Island Builders of the Pacific. Philadelphia: J. B. Lippincott.",https://d-place.org/sources/ivens1930,
C30_Mala,russell1950,Russell 1950,"Russell, T. (1950). The Fataleka of Malaita. Oceania 21(1), 1-13.",,
C31_Hottentots,schapera1930,Schapera 1930,"Schapera, I. (1930). The Khoisan Peoples of South Africa: Bushmen and Hottentots. London: George Routledge and Sons.",https://d-place.org/sources/schapera1930,
C31_Hottentots,schapera1956,Schapera 1956,"Schapera, I. (1956). Government and politics in tribal societies. London: Watts.",,
C32_Navajo,curtis1907,Curtis 1907,"Curtis, E. S. (1907). The North American Indian. Volume 1. Cambridge: The University Press.",,
C32_Navajo,reichard1950,Reichard 1950,Reichard G. A. (1950). Navaho religion: a study of symbolism. Volumes 1-2. New York: Pantheon Books.,,
C32_Navajo,kluckhohnandleighton1946,Kluckhohn & Leighton 1962,"Kluckhohn, C. & Leighton, D. C. (1962). The Navaho. Garden City, NY: Doubleday.",https://d-place.org/sources/kluckhohnandleighton1946,
C32_Navajo,reichard1928,Reichard 1928,"Reichard, G. A. (1928). Social Life of the Navajo Indians. Columbia University Contributions to Anthropology 7. New York:  Columbia University Press.",https://d-place.org/sources/reichard1928,
C32_Navajo,franciscanfathers1910,Franciscan Fathers 1910,"Franciscan Fathers (1910). An ethnologic dictionary of the Navaho language. Saint Michaels, Ariz.: Franciscan Fathers.",,
C32_Navajo,hill1936,Hill 1936,"Hill, W. W. (1936). Navaho warfare. New Haven: Yale University Press.",,
C32_Navajo,dyk1947,Dyk 1947,"Dyk, W. (1947). A Navaho autobiography. Viking Fund Publications in Anthropology. New York.",,
,,,,,
C34_Manobo,garvan1931,Garvan 1931,"Garvan, J. M. 1931. The Manóbos of Mindanáo. Memoirs of National Academy of Sciences 23. Washinton, D.C.: National Academy of Science.https://d-place.org/sources/garvan1931",https://d-place.org/sources/garvan1931,slightly different title
C35_Atayal,asai1950,Asai 1950,"Asai, E. 1950. Social Structure of the Tribes in Formosa. Unpublished lecture given at Yale.",NA,
C35_Atayal,guerinandbernard1868,Guérin & Bernard 1868,"Guérin, M., Bernard, J. 1868. Les Aborigènes de l'île de Formose. In ""Bulletin de la Société de Géographie"", 5th series, Volume 15, 542-568. Paris.",NA,
